att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,class
-0.359626,0.004888,-0.559542,0.031698,-0.265887,0.002714,-0.783476,0.069903,0.239375,-0.106555,-0.036134,-0.086596,0.302059,0.012511,-0.195941,-0.067993,-0.618057,-0.275154,0.135543,0.40509,-1
-0.788749,0.010488,-0.068916,-0.025527,0.222797,0.067152,-0.504271,-0.034093,0.000658,-0.007744,-0.244036,-0.060134,-0.077681,-0.42514,0.070626,-0.149689,0.237125,0.018387,0.492346,-0.229004,-1
-0.066184,-0.271723,-0.22776,-0.259387,0.265308,0.185761,-0.570806,-0.156644,0.248848,0.083393,-0.302097,-0.098941,0.229687,-0.395939,0.054262,-0.122017,0.410901,-0.112937,0.60132,0.000405,-1
-0.571009,0.039491,-0.659212,0.044588,-0.145357,-0.189822,-0.886779,0.085283,-0.007244,-0.234618,-0.070811,-0.138371,0.26515,0.157441,-0.173593,-0.15016,-0.640945,-0.29238,-0.012518,0.3689,-1
-0.490925,-0.122234,-0.453421,-0.085926,0.071187,0.129319,-0.748682,-0.116273,0.247538,0.059651,-0.176004,0.062982,0.065229,-0.297436,0.060126,0.0248,0.324873,-0.157291,0.39755,-0.050947,-1
-0.510075,-0.008551,-0.421069,-0.085384,0.419201,-0.241169,-0.709093,-0.154338,-0.117798,-0.066232,-0.218434,-0.02248,-0.053088,-0.081245,0.106547,0.065425,0.473902,-0.304027,0.404879,-0.111691,-1
0.368777,0.131642,-0.287895,-0.238416,0.133426,-0.342025,-0.33434,-0.114163,0.257384,0.111962,0.256301,0.10309,0.12873,-0.029772,0.514224,0.100087,-0.727726,0.185664,0.185101,0.532003,-1
-0.634989,-0.063787,-0.403059,-0.073578,0.235276,-0.042692,-0.632482,-0.053073,0.004324,-0.015019,-0.212507,-0.003589,0.063328,-0.296697,0.077937,-0.122152,0.273629,-0.062216,0.361407,-0.184158,-1
-0.586227,-0.022761,-0.605908,0.190189,-0.358046,-0.48072,-0.206974,-0.297665,-0.0846,-0.009193,0.61711,0.259998,0.65107,-0.016647,-0.051844,-0.145601,-0.271542,-0.222615,-0.346661,0.356516,-1
-0.479969,-0.116024,-0.857101,0.360641,0.017443,0.423963,-0.562324,-0.14895,-0.155627,-0.332402,-0.250475,-0.569791,-0.158249,-0.248728,-0.663836,-0.138451,0.562125,0.644031,-0.336401,-0.446972,-1
-0.484731,0.025226,-0.655947,0.739292,-0.050827,0.439213,-0.19726,0.275851,-0.023957,-0.290487,-0.297638,-0.626707,-0.482123,-0.385196,-0.887266,-0.216471,-0.015606,0.451246,-0.752742,-0.443719,-1
-0.621157,-0.211008,-0.510182,-0.240798,-0.012276,-0.002245,-0.178702,-0.174459,-0.185771,0.199215,-0.050054,0.263511,0.619332,-0.198579,0.219011,-0.246918,0.377932,-0.191098,-0.099456,0.192402,-1
-0.524696,0.07075,-0.585411,0.040185,0.004637,0.045999,-0.833144,-0.0339,0.144711,-0.0958,-0.222709,0.116231,0.020753,-0.360781,-0.013262,-0.063103,0.370315,-0.002222,0.095578,-0.330287,-1
-0.486779,0.060336,-0.358161,0.1045,0.061934,-0.037538,-0.403234,-0.033039,0.004311,-0.276285,-0.041133,0.148652,-0.013476,-0.429844,-0.099191,-0.136009,0.170058,0.128464,0.11235,-0.071721,-1
-0.123137,-0.166191,-0.477049,0.079295,0.437978,-0.645558,-0.371816,-0.006648,0.033613,-0.169344,0.033443,0.620111,-0.008586,-0.139203,-0.109634,0.052794,-0.572341,0.246329,0.044247,0.2909,-1
-0.433256,-0.262068,-0.815897,-0.148885,-0.088656,0.420702,-0.688425,-0.027156,-0.181621,-0.245823,-0.493307,-0.29251,0.350849,0.068626,-0.341808,-0.04827,0.365897,0.128698,-0.192776,-0.120231,-1
-0.516149,0.042414,-0.731027,0.497845,-0.038808,0.405556,-0.709627,0.219711,-0.079108,-0.682184,0.014355,-0.437073,0.042197,-0.43443,-0.537671,-0.131696,0.536052,0.255739,-0.312599,-0.505246,-1
-0.591979,0.064099,-0.42357,0.27818,0.222407,0.125853,-0.71014,-0.089558,-0.011532,-0.478995,0.174735,0.033035,-0.048827,-0.384411,-0.096494,-0.004146,0.113443,-0.061396,0.191552,-0.014047,-1
-0.445463,-0.191439,-0.970857,-0.148301,-0.154706,0.198734,-0.724126,0.069505,-0.162498,-0.334103,-0.534189,-0.069751,0.480174,-0.133863,-0.062364,-0.037144,0.5362,0.266577,-0.067013,-0.175902,-1
-0.645234,0.142318,-0.340612,0.131948,-0.036299,-0.157574,-0.58343,0.145235,0.091018,-0.215257,-0.09432,-0.084934,0.090507,0.117085,-0.141046,-0.065705,-0.555366,-0.261263,0.231482,0.100813,-1
-0.781116,0.258475,0.049119,0.304564,0.099672,-0.032123,-0.400525,0.269785,0.085387,-0.245987,0.005471,-0.147186,-0.108228,-0.009208,-0.075288,-0.15984,-0.496086,-0.409061,0.204804,-0.110452,-1
